노래제목,가수,가사,요약,카테고리,
할아버지,여유와 설빈,할아버지는 살아계실 때 지금 내가 앉은 소파에 앉아 신호가 잘 잡히지 않는 라디오를 즐겨 들으셨다 얼마나 많은 소식을 들고 어린 나를 옆에 앉히고 감히 헤아릴 수가 없는 시간 두고 가시는구나 할아버지는 돌아가실 때 누구에게도 알리지 않고 뒷산 오르시는 길에서 경운기와 눈 감으셨다 얼마나 많은 농사를 짓고 어린 나를 뒤에 태우고 감이 헤아릴 수가 없는 사랑 주고 가시는구나 나 이 담에 커서 돈 많이 벌면 삐까뻔쩍 라디오 사 드려야지 나 이 담에 커서 어른이 되면 부릉부릉 경운기 사 드려야지 감히 헤아릴 수가 없는 먼 곳으로 가시는구나,"할아버지와의 추억과 그분의 삶을 회상하며, 할아버지에 대한 깊은 그리움과 사랑을 표현하는 노래.",가족,관계
아빠가 딸에게 (To.Jia),변진섭,햇살을 닮아 맘이 따뜻한 너에게 무슨 말을 할까 구름을 닮아 선한 눈빛을 가진 너에게 바라는게 없지만 첫 번째 따뜻한 그 마음 어른이 되어도 남아있기를 자신보다 남을 생각하는 사람이기를 누군가에게 위로가 되기를 두 번째 살다보면 가끔 울고 싶은 날이 있을테지만 비가 내린 후에 피어있는 장미꽃처럼 슬픔이라도 꼭 안아주기를 바래 세 번째 맘이 가는 대로 꿈을 따라가는 사람이기를 세상이 말하는 것들보다 하고 싶은 것 행복할 수 있는 것을 찾기를 네 번째 욕심내지마라 함께 살아가는 세상이란다 어떤 음악 속의 저마다의 악기들처럼 어우러져야 감동이 있듯이 어린 아이가 자라 소녀가 되고 어른이 되어 살아가는 것 그것만으로 축복 인거야 마지막 누군가를 만나 너도 너를 닮은 아이를 낳고 내가 너에게 준 사랑보다 더 많은 사랑 줄 수 있는 예쁜 엄마 되기를 바래 음 바래,"부모의 따뜻한 마음과 바람을 담은 노래, 자녀에게 전하는 사랑과 삶의 교훈을 표현하고 있다.",가족,관계
딸에게 보내는 노래 (Vocal 성시경),토이,세상 모두 멈춘 것 같은 밤 방 안 가득 별빛 쏟아져 내려 지친 하루 피곤한 모습의 엄마와 우릴 닮은 니가 잠들어 있단다 처음 샀던 엄지만한 신발 품에 안고 기뻐하던 어느 봄날 누구보다 행복해 보이던 엄마의 얼굴 그토록 밝게 빛나던 4월의 미소 영원히 잊지 못할 설레임 가득하던 엄마의 눈망울  사랑스런 너를 만나던 날 바보처럼 아빤 울기만 하고 조심스레 너의 작은 손을 엄만 한참을 손에 쥐고 인사를 했단다 살아가는 일이 버거울 때 지친 하루 집에 돌아오는 길 저 멀리 아파트 창문 새로 너를 안고 반갑게 손을 흔드는 엄마의 모습 나는 웃을 수 있어 무엇보다 소중한 우리가 있으니 한참 시간이 흐른 뒤 어른이라는 이름 앞에 때론 힘겨워 눈물 흘릴 때면 이 노래를 기억해 주렴 너에게 줄 수 있는 단 하나의 작은 선물 꿈 많던 엄마의 눈부신 젊은 날은 너란 꽃을 피게 했단다 너란 꿈을 품게 됐단다 그리고 널 위한 이 노래  너의 작은 손 빛나던 미소  소중한 우리가 있으니 기억해 주렴 널 위한 이 노래 기억해 주겠니 널 위한 이 노래 소중한 우리가 있으니,어린 자녀와의 소중한 순간들을 회상하며 부모의 사랑과 희망을 담은 노래.,가족,관계
아빠와 함께 왈츠를 (Duet With 홍수연),김현철,아빠 나도 누군가를 사랑하게 될까 이 다음에 언젠가 내가 그런 때가 되면 아빤 내게 뭐라고 얘기 해 주게 될까 안된다 아니면 때가 됐다 생각 할까  음- 그 사람이 어느 누가 될지 아직은 모르는 일이지만 다정하고 지혜로운 그런 남잘 꺼야  하지만 나는 아빠가 좋아 그래도 꼭 만나야 된다면 아빠같은 그런 남자 만날테야  아빠 내가 그 사람 때문에 울게 되면 아빠가 나를 꼭 안아 줘야만 해 아빠 내가 그 사람 땜에 행복할 때도 절대로 내게 질투같은거 하면 안돼  음- 아빠가 엄말 첨 만났을 때 그리고 사랑에 빠졌을 때 널 낳았을 때 널 키울 때가 생각이나  아- 우리 공주님 어서 자라서 멋있는 사랑도 하고 말야 그래야지 그럴꺼야 꼭 그러렴-  아빠 내가 어떠한 얘기를 하더라도 난 알아 아빠가 날 사랑한단걸 -,아버지와 딸의 깊은 유대감과 미래의 사랑에 대한 소망을 표현한 노래,가족,관계
엄마와 딸,인순이,예쁘게 머리 땋아줘서 있는 짜증 없는 짜증 받아줘서 고마워 고마워 고마워 엄마 안기고 싶어 기대고 싶어 위로 받고 싶어 사랑 받고 싶어 난 엄마처럼 못해 엄마를 기억하며 다시 태어나도 엄마 딸이었으면 좋겠어 이제 누가 네 머리를 땋아주니 이제 누가 네 짜증을 받아주니 이리오렴 아가 이리오렴 딸아 엄마딸이어서 정말 미안해 더 잘해주고 싶은데 나를 기억해 더 사랑 했어야 했는데 그러지 못해 미안해 다시 태어나면 더 좋은엄마 밑에 사랑해 미안해 사랑해 미안해 사랑해 미안해 사랑해 고마워요 엄마딸이라서 고마워요 미안하다 내가 네 엄마라 미안하다 고마워요 엄마딸이라서 고마워요 미안하다 내가 네 엄마라 미안하다 사랑해 미안해 사랑해 미안해 사랑해 미안해 사랑해,"엄마와 딸 사이의 깊은 사랑과 미안함, 그리고 서로에 대한 감사의 마음을 표현한 노래.",가족,관계
우리 아빠,소이에 (søye),내가 아주 어렸을 때 기억은 잘 안 나도 아빠가 날 안았을 때 그 따스함이 좋아 요즘 따라 힘이 들 때 딴 생각은 안 나도 지긋이 날 바라보던 그 따뜻함이 좋아 포근한 두 손 따뜻한 눈빛 사진 속 어린 내가 된 것 같아 세상에 하나뿐인 딸 나의 전부 나의 사랑 너만 있으면 살 수 있어 우리 예쁜 딸 세상에 가장 소중한 특별한 사람 그대여 평생 말하고 싶어 사랑해요 좁아진 어깨 늘어난 주름 시간이라는 건 어쩔 수 없나 봐 세상에 하나뿐인 딸 나의 전부 나의 사랑 너만 있으면 살 수 있어 우리 예쁜 딸 세상에 가장 소중한 특별한 사람 그대여 평생 말하고 싶어 사랑해요 시간은 빠르게 흘러가요 저도 벌써 어른이 된 걸요 그대 눈에는 어린 소녀죠 그대를 참 많이 닮아 있죠 이제는 내가 지켜줄게요 나 세상에 기도할래요 다음 생에 태어나도 그대 딸로 태어날게요 약속해요 이 세상에 가장 소중한 특별한 사람 그대여 평생 말하고 싶어 사랑해요,아버지와 딸의 깊은 애정과 시간이 흐르는 가운데 변함없는 사랑을 묘사하는 노래.,가족,관계
오락실,한스 밴드,"시험을 망쳤어 오 집에가기 싫었어 열받아서 오락실에 들어갔어 어머 이게 누구야 저 대머리 아저씨 내가 제일 사랑하는 우리아빠  장난이 아닌 걸 또 최고기록을 깼어 처음이란 아빠 말을 믿을수가 없어 용돈을 주셨어 단 조건이붙었어 엄마에겐 말하지 말랬어 가끔 아빠도 회사에 가기싫겠지 엄마 잔소리, 바가지, 돈타령 숨이 막혀 가슴이 아파 무거운 아빠의 얼굴 혹시 내 시험성적 아신건아닐까 오늘의 뉴스 대낮부턴 오락실엔 이시대의 아빠들이 많다는데 혀끝을 쯧쯧 내차시는 엄마와 내 눈치를 살피는 우리아빠  늦은 밤중에 아빠의 한숨소리 옆엔 신나게 코골며 잠꼬대 하는 엄마 가슴이 아파 무거운 아빠의 얼굴 혹시 내일도 회사에 가기싫으실까 아침은 오고 또 엄마의 잔소리 도시락은 아빠꺼 내꺼 두개 아빠 조금 있다 또 거기서 만나요 오늘 누가 이기나 겨뤄봐요 승부의 세계는 오 너무너무 냉정해 부녀간도 소용없는 오락 한판 아빠 힘내요 난 아빠를 믿어요 아빠 곁엔 제가 있어요 아빨 이해할 수 있어요 아빠를 너무 사랑해요",아버지와의 독특한 교감과 일상의 스트레스를 가볍게 풀어내는 노래,가족,관계
막내 아들,크루셜스타 (CRUCiAL STAR),어렸을 때가 기억이 나네 속 썩이는 걸로 타고난 애 책가방을 메고 PC방에 어두워질 때까지 게임 학습을 받네 엄마는 말했지 그러면 과외를 받아 보자 누가 옆에 붙으면 조금 나아질지 몰라 난 과외 선생님이 여자라는 소릴 듣고 한다 했지만 못생겨서 때려쳤어 공부는 재미 없어 미술도 재미 없어 낙서는 재밌지만 소묘는 재미 없어 아빠는 내게 건 기댈 놓지 않으셨고 엄마는 내가 뭘 하든 지원해 주셨어 끝낸 이 못난 아들도 뭔가를 이뤘지만 돌아보니 너무 많은 것을 빚졌지 난 그대의 막내 아들이 뭔가 좀 해 보겠다고 평창동을 떠나 혼자서 산 지도 1년이 지났죠 그대는 항상 믿었어 나를 우주와 같은 사랑을 받았어 난 이젠 다 돌려 줘야죠 분명 부족하겠죠 그래도 꽤 열심히 살아왔지 내 랩이 어땠는지 알 사람은 알지 얘들아 너네 악플은 참 쉽게 달지 난 그걸 엎기 위해 두통약을 달고 살지 이제는 내가 평점 별 4개 이상을 받고 공연장에선 몇 백 명의 환호를 받고 상장은 받아본 게 글라이더가 전부였어도 자랑스럽단 엄마의 문자를 받죠 그 무엇보다도 값져 그대의 한 마디에 난 힘이 솟아나죠 오늘은 갈게 집에 집밥을 먹으면 내 영혼까지 채워지네 이제 나 한 달 정도는 거뜬하게 지내 나도 이만 작업하러 다시 가야죠 걱정 마요 나도 이제 알 건 알아요 그대의 막내 아들이 뭔가 좀 해 보겠다고 평창동을 떠나 혼자서 산 지도 1년이 지났죠 그대는 항상 믿었어 나를 우주와 같은 사랑을 받았어 난 이젠 다 돌려 줘야죠 분명 부족하겠죠 성공이라는 게 뭔진 모르겠지만 나 노력해 볼게 엄만 절대 아프지 마 아빠는 보이죠 아들이 잘하고 있나 나 좌절한대도 절대 믿음을 놓지 마 cuz i'm your son cuz i'm your son cuz i'm your son,"자신의 어린 시절과 부모님에 대한 사랑과 감사, 그리고 성장과 독립에 대한 이야기를 담은 노래.",가족,관계
아버지,양희은,내 나이 열세 살 아버지는 다시는 못 오실 먼 길 떠났죠 딸 셋만 세상에 덩그러니 두 눈 못 감고 떠나셨어요 내 나이 마흔 살 고개 넘어 아버지보다 더 살고 나서야 그 나이 남자들 어리더라 늦바람 당신을 용서했어요 세월이 흘러 나도 떠나면 거기서 우리 만나게 될까 아버진 채 마흔도 되기 전에 살지도 못하고 가신 거예요 험한 세상에 어떤 남자가 당신만큼 날 사랑해줄까 아버진 그렇게 가시려고 남다른 사랑을 주신 거예요 내 나이 마흔 살 고개 넘어 아버지보다 더 살고 나서야 그 나이 남자들 어리더라 늦바람 당신을 용서했어요 내 나이 예순 살 넘어서야 용케도 살아온 길 뒤돌아보니 기댈 곳 없는 이 거친 세상 당신은 가고 난 남아있네요,"아버지의 부재와 그에 대한 회상, 그리고 시간이 지나면서 변화하는 감정과 용서를 표현한 노래.",가족,관계
아버지의 60,Horim (호림),좀 더 느렸으면 해요 빠르지 않아도 돼요 그저 바라보며 웃고 꽃내음 맡으며 걸어요 참 하고 싶었었는데 지나쳐 못했던 말 이젠 쉬어가며 그대 따스히 웃어요 어둡고 어두운 그대 삶 속에 긴 터널 우릴 위해 걸었던 그대의 날들은 아름답죠 웃어야 했기에 힘이 돼 주어야 했기에 터벅 터벅 끝도 없이 버텨왔네요 아버지 아빠 아니 그대 이제 조금은 쉬며 걸어요 아버지 아빠 아니 그대 이제 사랑의 숨 쉬며 걸어요 함께 우리 내게는 가장 멋진 아버지 아빠 아니 그대 이제 조금은 쉬며 걸어요 아버지 아빠 아니 그대 이제 사랑의 숨 쉬며 걸어요 사랑의 숨 쉬며 걸어요 우리 함께,아버지에게 헌신된 삶에서 잠시 쉬어가며 사랑을 느끼는 순간들을 간절히 바라는 노래.,가족,관계
